dtref,ipca
01-01-2019,"0,32"
01-02-2019,"0,43"
01-03-2019,"0,75"
01-04-2019,"0,57"
01-05-2019,"0,13"
01-06-2019,"0,01"
01-07-2019,"0,19"
01-08-2019,"0,11"
01-09-2019,"-0,04"
01-10-2019,"0,1"
01-11-2019,"0,51"
01-12-2019,"1,15"
01-01-2020,"0,21"
01-02-2020,"0,25"
01-03-2020,"0,07"
01-04-2020,"-0,31"
01-05-2020,"-0,38"
01-06-2020,"0,26"
01-07-2020,"0,36"
01-08-2020,"0,24"
01-09-2020,"0,64"
01-10-2020,"0,86"
01-11-2020,"0,89"
01-12-2020,"1,35"
01-01-2021,"0,25"
01-02-2021,"0,86"
01-03-2021,"0,93"
01-04-2021,"0,31"
01-05-2021,"0,83"
01-06-2021,"0,53"
01-07-2021,"0,96"
01-08-2021,"0,87"
01-09-2021,"1,16"
01-10-2021,"1,25"
01-11-2021,"0,95"
01-12-2021,"0,73"
01-01-2022,"0,54"
01-02-2022,"1,01"
01-03-2022,"1,62"
01-04-2022,"1,06"
01-05-2022,"0,47"
01-06-2022,"0,67"
01-07-2022,"-0,68"
01-08-2022,"-0,36"
01-09-2022,"-0,29"
01-10-2022,"0,59"
01-11-2022,"0,41"
01-12-2022,"0,62"
01-01-2023,"0,53"
01-02-2023,"0,84"
01-03-2023,"0,71"